"COUNTRY","RANK","YEAR"
"Australia",7,1990
"Belgium",18,1990
"Brazil",17,1990
"China",19,1990
"France",5,1990
"Germany",4,1990
"Hong Kong",6,1990
"India",13,1990
"Israel",12,1990
"Italy",8,1990
"Japan",3,1990
"Mexico",11,1990
"Netherlands",9,1990
"New Zealand",16,1990
"South Korea",14,1990
"Spain",20,1990
"Switzerland",10,1990
"Taiwan",15,1990
"U.K.",2,1990
"U.S.",1,1990
"Australia",7,1991
"Belgium",17,1991
"Brazil",16,1991
"China",19,1991
"France",4,1991
"Germany",5,1991
"Hong Kong",6,1991
"India",13,1991
"Israel",12,1991
"Italy",8,1991
"Japan",3,1991
"Mexico",11,1991
"Netherlands",9,1991
"New Zealand",18,1991
"South Korea",14,1991
"Spain",20,1991
"Switzerland",10,1991
"Taiwan",15,1991
"U.K.",2,1991
"U.S.",1,1991
"Australia",7,1992
"Belgium",16,1992
"Brazil",20,1992
"China",17,1992
"France",5,1992
"Germany",4,1992
"Hong Kong",6,1992
"India",14,1992
"Israel",12,1992
"Italy",8,1992
"Japan",3,1992
"Mexico",11,1992
"Netherlands",9,1992
"New Zealand",19,1992
"South Korea",13,1992
"Spain",18,1992
"Switzerland",10,1992
"Taiwan",15,1992
"U.K.",2,1992
"U.S.",1,1992
"Australia",8,1993
"Belgium",16,1993
"Brazil",20,1993
"China",17,1993
"France",5,1993
"Germany",4,1993
"Hong Kong",6,1993
"India",15,1993
"Israel",12,1993
"Italy",7,1993
"Japan",3,1993
"Mexico",11,1993
"Netherlands",9,1993
"New Zealand",18,1993
"South Korea",13,1993
"Spain",19,1993
"Switzerland",10,1993
"Taiwan",14,1993
"U.K.",2,1993
"U.S.",1,1993
"Australia",7,1994
"Belgium",17,1994
"Brazil",19,1994
"China",16,1994
"France",4,1994
"Germany",5,1994
"Hong Kong",6,1994
"India",15,1994
"Israel",14,1994
"Italy",8,1994
"Japan",3,1994
"Mexico",12,1994
"Netherlands",10,1994
"New Zealand",20,1994
"South Korea",9,1994
"Spain",18,1994
"Switzerland",11,1994
"Taiwan",13,1994
"U.K.",2,1994
"U.S.",1,1994
"Australia",7,1995
"Belgium",19,1995
"Brazil",17,1995
"China",16,1995
"France",5,1995
"Germany",4,1995
"Hong Kong",6,1995
"India",15,1995
"Israel",13,1995
"Italy",9,1995
"Japan",3,1995
"Mexico",14,1995
"Netherlands",12,1995
"New Zealand",20,1995
"South Korea",8,1995
"Spain",18,1995
"Switzerland",11,1995
"Taiwan",10,1995
"U.K.",2,1995
"U.S.",1,1995
"Australia",8,1996
"Belgium",18,1996
"Brazil",17,1996
"China",15,1996
"France",5,1996
"Germany",4,1996
"Hong Kong",6,1996
"India",16,1996
