from,to,relation
sdg.a.res.71.313a,sdg.g01,has_goals
sdg.a.res.71.313a,sdg.g02,has_goals
sdg.a.res.71.313a,sdg.g03,has_goals
sdg.a.res.71.313a,sdg.g04,has_goals
sdg.a.res.71.313a,sdg.g05,has_goals
sdg.a.res.71.313a,sdg.g06,has_goals
sdg.a.res.71.313a,sdg.g07,has_goals
sdg.a.res.71.313a,sdg.g08,has_goals
sdg.a.res.71.313a,sdg.g09,has_goals
sdg.a.res.71.313a,sdg.g10,has_goals
sdg.a.res.71.313a,sdg.g11,has_goals
sdg.a.res.71.313a,sdg.g12,has_goals
sdg.a.res.71.313a,sdg.g13,has_goals
sdg.a.res.71.313a,sdg.g14,has_goals
sdg.a.res.71.313a,sdg.g15,has_goals
sdg.a.res.71.313a,sdg.g16,has_goals
sdg.a.res.71.313a,sdg.g17,has_goals
sdg.g01,sdg.g01.t0101,has_target
sdg.g01,sdg.g01.t0102,has_target
sdg.g01,sdg.g01.t0103,has_target
sdg.g01,sdg.g01.t0104,has_target
sdg.g01,sdg.g01.t0105,has_target
sdg.g01,sdg.g01.t010a,has_target
sdg.g01,sdg.g01.t010b,has_target
sdg.g02,sdg.g02.t0201,has_target
sdg.g02,sdg.g02.t0202,has_target
sdg.g02,sdg.g02.t0203,has_target
sdg.g02,sdg.g02.t0204,has_target
sdg.g02,sdg.g02.t0205,has_target
sdg.g02,sdg.g02.t020a,has_target
sdg.g02,sdg.g02.t020b,has_target
sdg.g02,sdg.g02.t020c,has_target
sdg.g03,sdg.g03.t0301,has_target
sdg.g03,sdg.g03.t0302,has_target
sdg.g03,sdg.g03.t0303,has_target
sdg.g03,sdg.g03.t0304,has_target
sdg.g03,sdg.g03.t0305,has_target
sdg.g03,sdg.g03.t0306,has_target
sdg.g03,sdg.g03.t0307,has_target
sdg.g03,sdg.g03.t0308,has_target
sdg.g03,sdg.g03.t0309,has_target
sdg.g03,sdg.g03.t030a,has_target
sdg.g03,sdg.g03.t030b,has_target
sdg.g03,sdg.g03.t030c,has_target
sdg.g03,sdg.g03.t030d,has_target
sdg.g04,sdg.g04.t0401,has_target
sdg.g04,sdg.g04.t0402,has_target
sdg.g04,sdg.g04.t0403,has_target
sdg.g04,sdg.g04.t0404,has_target
sdg.g04,sdg.g04.t0405,has_target
sdg.g04,sdg.g04.t0406,has_target
